Song_Name,Artists,YouTube_Link,ViewCount,Release
Let's Stay Together,Al Green,https://www.youtube.com/watch?v=XXx6RDzR6eM,32787985,1972.0
Wake Me Up - Radio Edit,Avicii,https://www.youtube.com/watch?v=IcrbM1l_BoI,2482535634,2013.0
I Want To Break Free - Remastered 2011,Queen,https://www.youtube.com/watch?v=WUOtCLOXgm8,136150657,1984.0
Search Party!,The All-American Rejects,https://www.youtube.com/watch?v=qEv8WNkGsGk,1086826,2025.0
Imagine - Remastered 2010,John Lennon,https://www.youtube.com/watch?v=VOgFZfRVaww,130033028,1971.0
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,https://www.youtube.com/watch?v=DtVBCG6ThDk,170835644,1972.0
Teri Meri,"Rahat Fateh Ali Khan, Shreya Ghoshal",https://www.youtube.com/watch?v=tyxswccv-VU,367600208,2011.0
Should I Stay or Should I Go - Remastered,The Clash,https://www.youtube.com/watch?v=BN1WwnEDWAM,143610974,1982.0
Hot Stuff,Donna Summer,https://www.youtube.com/watch?v=yg6Y_1_DJyI,39665647,1979.0
I Love Rock 'N Roll,Joan Jett & the Blackhearts,https://www.youtube.com/watch?v=iC8oP4Z_xPw,50192371,1981.0
Like a Virgin,Madonna,https://www.youtube.com/watch?v=s__rX_WL100,133190777,1984.0
"Sugar, Sugar",The Archies,https://www.youtube.com/watch?v=j3plj_Xplus,13012662,2007.0
Raabta,"Pritam, Arijit Singh",https://www.youtube.com/watch?v=zlt38OOqwDc,163087607,2012.0
Remedy,The Hourglass Effect,https://www.youtube.com/watch?v=W9D_QZvJLI4,4552853,2025.0
Yesterday - Remastered 2009,The Beatles,https://www.youtube.com/watch?v=wXTJBr9tt8Q,101143057,1965.0
Prem Ratan Dhan Payo,Palak Muchhal,https://www.youtube.com/watch?v=bPk9bSvQQoc,1020915897,2015.0
"Shout, Pts. 1 & 2",The Isley Brothers,https://www.youtube.com/watch?v=nEjLFpU2pJ4,10628485,1959.0
I'm a Believer,The Monkees,https://www.youtube.com/watch?v=4PQAqprjOuA,5346022,2008.0
Teri Ore,"Pritam, Rahat Fateh Ali Khan, Shreya Ghoshal, Mayur Puri",https://www.youtube.com/watch?v=CWfCp96-yck,181452340,2008.0
Kiss from a Rose,Seal,https://www.youtube.com/watch?v=yivLt9cTaio,16616934,1994.0
More Than a Feeling,Boston,https://www.youtube.com/watch?v=t4QK8RxCAwo,75167268,1976.0
Johnny B. Goode,Chuck Berry,https://www.youtube.com/watch?v=6swgiM9vSEE,99979150,1959.0
Tutti Frutti,Little Richard,https://www.youtube.com/watch?v=ZSx91WBQLpg,13318781,1957.0
La Bamba - Single Version,Ritchie Valens,https://www.youtube.com/watch?v=Coy8Hoa1DNw,42745946,1959.0
Somebody To Love - Remastered 2011,Queen,https://www.youtube.com/watch?v=kijpcUv-b8M,517104280,1976.0
Mr. Brightside,The Killers,https://www.youtube.com/watch?v=gGdGFtwCNBE,613656142,2004.0
Paranoid - 2012 - Remaster,Black Sabbath,https://www.youtube.com/watch?v=cen1SvpTsYk,101891890,1970.0
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,https://www.youtube.com/watch?v=hzYBEJgKjv0,9652623,1955.0
Light My Fire,The Doors,https://www.youtube.com/watch?v=mbj1RFaoyLk,40952377,1967.0
