ID,Song,Artist,Year,Weeks_in_Charts,Rank,YouTube_Link,ViewCount,Genre
0001,How Deep Is Your Love,Bee Gees,1977,33,1,https://www.youtube.com/watch?v=EgqUJOudrcM,1711000000.0,Pop
0002,Baby Come Back,Player,1977,32,1,https://www.youtube.com/watch?v=NmEyGiaqm7k,116000000.0,R&B
0003,December; 1963 (Oh; What a Night),The 4 Seasons,1975,27,1,https://www.youtube.com/watch?v=mTUhnIY3oRM,57000000.0,Rock
0004,I Will Survive,Gloria Gaynor,1978,27,1,https://www.youtube.com/watch?v=FHhZPp08s74,199000000.0,R&B
0005,Stayin' Alive,Bee Gees,1977,27,1,https://www.youtube.com/watch?v=I_izvAbhExY,921000000.0,Pop
0006,Kiss And Say Goodbye,The Manhattans,1976,26,1,https://www.youtube.com/watch?v=wtjro7_R3-4,358000000.0,R&B
0007,Please Don't Go,KC And The Sunshine Band,1979,26,1,https://www.youtube.com/watch?v=PwrVePMx6t0,75000000.0,R&B
0008,Rock With You,Michael Jackson,1979,24,1,https://www.youtube.com/watch?v=5X-Mrc2l1d0,505000000.0,Pop
0009,You're The One That I Want,John Travolta & Olivia Newton-John,1978,24,1,https://www.youtube.com/watch?v=7oKPYe53h78,481000000.0,Pop
0010,Dreams,Fleetwood Mac,1977,23,1,https://www.youtube.com/watch?v=5oWyMakvQew,226000000.0,Rock
0011,Rhinestone Cowboy,Glen Campbell,1975,23,1,https://www.youtube.com/watch?v=8kAU3B9Pi_U,63000000.0,Pop
0012,Crazy Little Thing Called Love,Queen,1979,22,1,https://www.youtube.com/watch?v=zO6D_BAuYCI,223000000.0,Rock
0013,Dancing Queen,ABBA,1976,22,1,https://www.youtube.com/watch?v=xFrGuyw1V8s,1114000000.0,Pop
0014,Da Ya Think I'm Sexy?,Rod Stewart,1978,21,1,https://www.youtube.com/watch?v=Hphwfq1wLJs,387000000.0,Rock
0015,Don't Stop 'Til You Get Enough,Michael Jackson,1979,21,1,https://www.youtube.com/watch?v=yURRmWtbTbo,553000000.0,Pop
0016,Heart Of Glass,Blondie,1979,21,1,https://www.youtube.com/watch?v=WGU_4-5RaxU,657000000.0,Pop
0017,If You Leave Me Now,Chicago,1976,21,1,https://www.youtube.com/watch?v=xrR8LT2LX_w,65000000.0,Rock
0018,Seasons In The Sun,Terry Jacks,1974,21,1,https://www.youtube.com/watch?v=Xdv83MFJd7U,112000000.0,Pop
0019,Too Much Heaven,Bee Gees,1978,21,1,https://www.youtube.com/watch?v=nREV8bQJ1MA,332000000.0,Pop
0020,Macarena (Bayside Boys Mix),Los Del Rio,1995,60,1,https://www.youtube.com/watch?v=zWaymcVmJ-A,453000000.0,Pop
0021,Smooth,Santana Featuring Rob Thomas,1999,58,1,https://www.youtube.com/watch?v=6Whgn_iE5uc,445000000.0,Rock
0022,Amazed,Lonestar,1999,55,1,https://www.youtube.com/watch?v=x-skFgrV59A,109000000.0,Pop
0023,Too Close,Next,1998,53,1,https://www.youtube.com/watch?v=kwEZRPkAAu8,140000000.0,R&B
