Song_Name,Artists,YouTube_Link,ViewCount
Jailhouse Rock,Elvis Presley,https://www.youtube.com/watch?v=gj0Rz-uP4Mk,277003949
Hotel California - 2013 Remaster,Eagles,https://www.youtube.com/watch?v=BciS5krYL80,516964825
Billie Jean,Michael Jackson,https://www.youtube.com/watch?v=Kr4EQDVETuA,349087280
Bohemian Rhapsody - Remastered 2011,Queen,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,1990932619
Let It Be - Remastered 2009,The Beatles,https://www.youtube.com/watch?v=QDYfEBY9NM4,206757035
(I Can't Get No) Satisfaction - Mono,The Rolling Stones,https://www.youtube.com/watch?v=MSSxnv1_J2g,5083663
Africa,TOTO,https://www.youtube.com/watch?v=FTQbiNvZqaY,1189855831
More Than a Feeling,Boston,https://www.youtube.com/watch?v=DCZNFmHJbV8,6047020
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,https://www.youtube.com/watch?v=GbsFCYEJGZ0,532372
Smells Like Teen Spirit,Nirvana,https://www.youtube.com/watch?v=hTWKbfoikeg,2083173535
Every Breath You Take,The Police,https://www.youtube.com/watch?v=OMOGaugKpzs,1530060201
Stand By Me,Ben E. King,https://www.youtube.com/watch?v=hwZNL7QVJjE,575392086
Nothing Compares 2 U,Sinéad O'Connor,https://www.youtube.com/watch?v=0-EF60neguk,539678437
Imagine - Remastered 2010,John Lennon,https://www.youtube.com/watch?v=zHxobd1WLno,1269221
I Hate Myself For Loving You,Laura Bryna,https://www.youtube.com/watch?v=EgU8gbNpSow,844647
I Was Made For Lovin' You,KISS,https://www.youtube.com/watch?v=kLKr342VKaU,30668876
Beat It,Michael Jackson,https://www.youtube.com/watch?v=oRdxUFDoQe0,1226841515
Whole Lotta Love - 1990 Remaster,Led Zeppelin,https://www.youtube.com/watch?v=HQmmM_qwG4k,251303550
Take on Me,a-ha,https://www.youtube.com/watch?v=djV11Xbc914,2279159221
Under the Bridge,Red Hot Chili Peppers,https://www.youtube.com/watch?v=GLvohMXgcBo,331783415
Gangsta's Paradise,"Coolio, L.V.",https://www.youtube.com/watch?v=fPO76Jlnz6c,1880522222
Sweet Child O' Mine,Guns N' Roses,https://www.youtube.com/watch?v=1w7OgIMMRc4,1852397691
I Will Always Love You,Whitney Houston,https://www.youtube.com/watch?v=3JWTaaS7LdU,1823608165
Fast Car,Tracy Chapman,https://www.youtube.com/watch?v=AIOAlaACuv4,129406964
Eggshell Tap Dancer,The All-American Rejects,https://www.youtube.com/watch?v=VKTB3tFaHmk,478632
(What A) Wonderful World,Sam Cooke,https://www.youtube.com/watch?v=VzlLi5jX_C4,3004916
Purple Rain,Prince,https://www.youtube.com/watch?v=347vCib_lMs,21074550
Hound Dog,Elvis Presley,https://www.youtube.com/watch?v=-eHJ12Vhpyc,40836642
Girls Just Want to Have Fun,Cyndi Lauper,https://www.youtube.com/watch?v=PIb6AZdTr-A,1614305759
Hey Jude - Remastered 2015,The Beatles,https://www.youtube.com/watch?v=mQER0A0ej0M,88599382
Love is fire,Working Royals,https://www.youtube.com/watch?v=liWSMkkZH8w,177
CRAZY,Frankie Muriel,https://www.youtube.com/watch?v=H9a3S-8pkqQ,1674
Sweet Caroline,Neil Diamond,https://www.youtube.com/watch?v=ty1dwBCR6D0,91629697
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",https://www.youtube.com/watch?v=ABfQuZqq8wg,83279034
Losing My Religion,R.E.M.,https://www.youtube.com/watch?v=xwtdhWltSIg,1386549866
Water,Man in the Ocean,https://www.youtube.com/watch?v=lrGFrPoiv0Y,415872
Respect,Aretha Franklin,https://www.youtube.com/watch?v=9iayJ8u4Qew,10407716
Here Comes The Sun - Remastered 2009,The Beatles,https://www.youtube.com/watch?v=tDEzmaZHuS0,605845
September,"Earth, Wind & Fire",https://www.youtube.com/watch?v=3cKtSlsYVEU,179659763
Black Cat,Laura Bryna,https://www.youtube.com/watch?v=o5BJDjcDeQ8,490
Stairway to Heaven - Remaster,Led Zeppelin,https://www.youtube.com/watch?v=X791IzOwt3Q,68953740
Don't Stop Believin',Journey,https://www.youtube.com/watch?v=VcjzHMhBtf0,414592550
Sultans Of Swing,Dire Straits,https://www.youtube.com/watch?v=h0ffIJ7ZO4U,493980132
Eye of the Tiger,Survivor,https://www.youtube.com/watch?v=btPJPFnesV4,1149074718
Wings,PolishManiac,https://www.youtube.com/watch?v=dLhcSYiwCWs,56
Search Party!,The All-American Rejects,https://www.youtube.com/watch?v=qEv8WNkGsGk,1084662
Like a Virgin,Madonna,https://www.youtube.com/watch?v=DtZ6gMzx0bk,2445698
In The Air Tonight - 2015 Remastered,Phil Collins,https://www.youtube.com/watch?v=rvUjjtZ_opk,370822
Superstition - Single Version,Stevie Wonder,https://www.youtube.com/watch?v=ftdZ363R9kQ,54227729
"I'll Be Missing You (feat. Faith Evans, 112)","Diddy, Faith Evans, 112",https://www.youtube.com/watch?v=pNPf-aP-bsA,248417517
Together Always,Byron Taylor,https://www.youtube.com/watch?v=3Zz7QWSUQZY,23
Livin' On A Prayer,Bon Jovi,https://www.youtube.com/watch?v=lDK9QqIzhwk,1368292186
Don't Stop 'Til You Get Enough,Michael Jackson,https://www.youtube.com/watch?v=yURRmWtbTbo,453121035
Highway to Hell,AC/DC,https://www.youtube.com/watch?v=l482T0yNkeo,423540611
Summer Of '69,Bryan Adams,https://www.youtube.com/watch?v=eFjjO_lhf9c,309196275
God And The Devil,Makua,https://www.youtube.com/watch?v=o8_m2bT4lNI,661
I Want To Hold Your Hand - Remastered 2015,The Beatles,https://www.youtube.com/watch?v=v1HDt1tknTc,42905039
A Whiter Shade of Pale - Original Single Version,Procol Harum,https://www.youtube.com/watch?v=hxa6GUIkNac,14480012
I Want to Know What Love Is - 1999 Remaster,Foreigner,https://www.youtube.com/watch?v=vsWj2DYRnzU,16296637
I Will Survive - Single Version,Gloria Gaynor,https://www.youtube.com/watch?v=6dYWe1c3OyU,147452569
Ain't No Sunshine,Bill Withers,https://www.youtube.com/watch?v=Nuanwn3v-2I,52174945
Careless Whisper,George Michael,https://www.youtube.com/watch?v=izGwDsrQ1eQ,1480064014
Between Us,Wyatt Easterling,https://www.youtube.com/watch?v=I6ORxk5EBcM,15
Let's Stay Together,Al Green,https://www.youtube.com/watch?v=2FEJINHoRcU,1026415
"Paint It, Black",The Rolling Stones,https://www.youtube.com/watch?v=O4irXQhgMqg,594259180
Bridge Over Troubled Water,Simon & Garfunkel,https://www.youtube.com/watch?v=4G-YQA_bsOU,45651758
Don't Speak,No Doubt,https://www.youtube.com/watch?v=TR3Vdo5etCQ,1210938248
Killing Me Softly With His Song,"Fugees, Ms. Lauryn Hill",https://www.youtube.com/watch?v=oKOtzIo-uYw,733357269
Remedy,The Hourglass Effect,https://www.youtube.com/watch?v=bQVPiKaXdTU,2741947
Johnny B. Goode,Chuck Berry,https://www.youtube.com/watch?v=Y-9Y4CCIWnM,6742472
Have You Ever Seen The Rain,Creedence Clearwater Revival,https://www.youtube.com/watch?v=u1V8YRJnr4Q,551616062
(Sittin' On) the Dock of the Bay,Otis Redding,https://www.youtube.com/watch?v=rTVjnBo96Ug,146640377
Wonderwall,Oasis,https://www.youtube.com/watch?v=bx1Bh8ZvH84,495913759
EVEN NOW,MELINDA LINDNER,https://www.youtube.com/watch?v=rSClxgIaEcg,192561
I Am,Anour,https://www.youtube.com/watch?v=2xejITppMls,99627
Should I Stay or Should I Go - Remastered,The Clash,https://www.youtube.com/watch?v=e7tWqyM3r-g,1914618
What A Wonderful World,Louis Armstrong,https://www.youtube.com/watch?v=rBrd_3VMC3c,37968039
Go Your Own Way - 2004 Remaster,Fleetwood Mac,https://www.youtube.com/watch?v=DubafeFeJ7Y,32892450
Somebody To Love - Remastered 2011,Queen,https://www.youtube.com/watch?v=SrvO4baXLWI,7901983
Listen to the Music,The Doobie Brothers,https://www.youtube.com/watch?v=DkytJLoxGmQ,44198929
My Girl,The Temptations,https://www.youtube.com/watch?v=y3KJ7d2qBoA,31249526
Piano Man,Billy Joel,https://www.youtube.com/watch?v=gxEPV4kolz0,288318635
Never Say Never,Shoshana Ami,https://www.youtube.com/watch?v=fwJWWyerfUI,69980
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,https://www.youtube.com/watch?v=HrxX9TBj2zY,62142843
Let The World Decide,The High Nines,https://www.youtube.com/watch?v=WumR3vGTCgk,115
Sweet Home Alabama,Lynyrd Skynyrd,https://www.youtube.com/watch?v=-p8GXZcdrIk,31740381
Hit the Road Jack (Remastered),Ray Charles,https://www.youtube.com/watch?v=uSiHqxgE2d0,64714791
"Sugar, Sugar",The Archies,https://www.youtube.com/watch?v=5rmwDnOozWU,2469166
Running Ragged,Jackson D. Begley,https://www.youtube.com/watch?v=8el6M1zoW9g,16
Wake Me Up Before You Go-Go,Wham!,https://www.youtube.com/watch?v=pIgZ7gMze7A,544656113
Don't Go Breaking My Heart,"Elton John, Kiki Dee",https://www.youtube.com/watch?v=z0qW9P-uYfM,126107778
These Boots Are Made For Walkin',Nancy Sinatra,https://www.youtube.com/watch?v=TDmidrIDB4o,20398475
I Want You Back,The Jackson 5,https://www.youtube.com/watch?v=y2bVIBwpCTA,83234547
Born in the U.S.A.,Bruce Springsteen,https://www.youtube.com/watch?v=EPhWR4d3FJQ,99027284
Brown Eyed Girl,Van Morrison,https://www.youtube.com/watch?v=UfmkgQRmmeE,124981849
Fly Me To The Moon (In Other Words),"Frank Sinatra, Count Basie",https://www.youtube.com/watch?v=e1KxnVua17I,161527
Maybe In Another World,Alwyn Morrison,https://www.youtube.com/watch?v=lMd4b2WiLMc,208348
Hot Stuff,Donna Summer,https://www.youtube.com/watch?v=0YLiTLmrMZA,1966275
Always On The Run,The Burkharts,https://www.youtube.com/watch?v=Wrl3TL-KV3Y,3390
All I Have to Do Is Dream,The Everly Brothers,https://www.youtube.com/watch?v=tbU3zdAgiX8,49106710
"Oh, Pretty Woman",Roy Orbison,,Error
All Along the Watchtower,Jimi Hendrix,,Error
Kiss from a Rose,Seal,,Error
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,,Error
House of the Rising Sun,The Animals,,Error
Soul Man,Sam & Dave,,Error
Everybody Wants To Rule The World,Tears For Fears,,Error
